,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL,Address_latitude,Address_longitude
173,Care Bears Rave Sydney,19/07/2024 23:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,26.74,,https://www.eventbrite.com.au/e/care-bears-rave-sydney-tickets-901992723517?aff=ebdssbdestsearch,-33.87784571,151.2139323
174,Winter Country Music Night - Emu Hall,20/07/2024 17:00,300,Emu Hall Bar & Kitchen,"2-26 Great Western Highway Emu Plains, NSW 2750",17.19,17.19,Almost full,https://www.eventbrite.com.au/e/winter-country-music-night-emu-hall-tickets-915059737307?aff=ebdssbdestsearch,-33.74608257,150.67953
175,FROSTBITTEN WEEKEND,20/07/2024 18:30,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",27.84,27.84,,https://www.eventbrite.com.au/e/frostbitten-weekend-tickets-900844398847?aff=ebdssbdestsearch,-33.87713995,151.212953
176,Karise Eden,20/07/2024 19:00,240,Bowral Bowling Club,"40 Shepherd Street Bowral, NSW 2576",43.66,551.91,,https://www.eventbrite.com.au/e/karise-eden-tickets-877678087787?aff=ebdssbdestsearch,-34.48034152,150.4259447
177,Sensitive Instruments,20/07/2024 20:00,90,Local Edition,"279 Broadway On the corner of Broadway and Glebe Point Rd Glebe, NSW 2037",27.78,40.49,,https://www.eventbrite.com/e/sensitive-instruments-tickets-906630796117?aff=ebdssbdestsearch,-33.88451389,151.1929745
178,Shenanigans,20/07/2024 20:00,420,The Lass O'Gowrie Hotel,"14 Railway Street Wickham, NSW 2293",15,27.78,,https://www.eventbrite.com.au/e/shenanigans-tickets-920464493077?aff=ebdssbdestsearch,-32.92232517,151.7560276
179,My Chemical Romance Ball (Sydney),20/07/2024 21:00,300,The Imperial Erskineville,"35 Erskineville Road Erskineville, NSW 2043",18.26,27.78,,https://www.eventbrite.com.au/e/my-chemical-romance-ball-sydney-tickets-911181728077?aff=ebdssbdestsearch,-33.89927605,151.1826033
180,Road to '24 AXIX Live in Sydney,21/07/2024 20:00,,Home Main Venue,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",55,88,,https://www.eventbrite.com.au/e/road-to-24-axix-live-in-sydney-tickets-920548765137?aff=ebdssbdestsearch,-33.8695335,151.2020692
181,Music in Me Summit 2024,22/07/2024 8:30,420,ACO Pier 2/3,"13A Hickson Road #Suite 3 Dawes Point, NSW 2000",43.33,159.22,,https://www.eventbrite.com.au/e/music-in-me-summit-2024-tickets-895788376147?aff=ebdssbdestsearch,-33.85485192,151.2069478
182,Live Music Lake Mac & HIT Productions presents Buddy Knox Project,24/07/2024 18:30,210,"Warners Bay Theatre, baramayiba","39 Lake Street Warners Bay, NSW 2282",48.6,53.87,,https://www.eventbrite.com.au/e/live-music-lake-mac-hit-productions-presents-buddy-knox-project-tickets-755098940257?aff=ebdssbdestsearch,-32.972289,151.6457344
